,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
0,1/1/2008,437966,204,291312,0,0,0,0,0,0,0,0,0,0,0,0
1,2/1/2008,465449,177,219303,291312,0,0,0,0,0,0,0,0,0,0,0
2,3/1/2008,502041,287,576583,219303,291312,0,0,0,0,0,0,0,0,0,0
3,4/1/2008,459129,198,274428,576583,219303,291312,0,0,0,0,0,0,0,0,0
4,5/1/2008,508955,238,396508,274428,576583,219303,291312,0,0,0,0,0,0,0,0
5,6/1/2008,529064,212,314608,396508,274428,576583,219303,291312,0,0,0,0,0,0,0
6,7/1/2008,567364,212,314608,314608,396508,274428,576583,219303,291312,0,0,0,0,0,0
7,8/1/2008,599506,213,317583,314608,314608,396508,274428,576583,219303,291312,0,0,0,0,0
8,9/1/2008,501018,198,274428,317583,314608,314608,396508,274428,576583,219303,291312,0,0,0,0
9,10/1/2008,529391,207,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312,0,0,0
10,11/1/2008,524162,195,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312,0,0
11,12/1/2008,610452,209,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312,0
12,1/1/2009,473165,217,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312
13,2/1/2009,421555,208,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303
14,3/1/2009,511314,256,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583
15,4/1/2009,487121,333,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428
16,5/1/2009,521735,312,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508
17,6/1/2009,550582,291,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608
18,7/1/2009,593415,315,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608
19,8/1/2009,566797,283,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583
20,9/1/2009,493799,305,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428
21,10/1/2009,547159,350,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943
22,11/1/2009,531669,291,592767,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175
23,12/1/2009,625419,220,338800,592767,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767
24,1/1/2010,493799,374,979132,338800,592767,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623
25,2/1/2010,523135,333,776223,979132,338800,592767,857500,651175,560623,694575,592767,681408,776223,458752,302848
26,3/1/2010,594242,341,813967,776223,979132,338800,592767,857500,651175,560623,694575,592767,681408,776223,458752
27,4/1/2010,555915,313,685783,813967,776223,979132,338800,592767,857500,651175,560623,694575,592767,681408,776223
28,5/1/2010,600031,419,1228927,685783,813967,776223,979132,338800,592767,857500,651175,560623,694575,592767,681408
29,6/1/2010,613422,278,540988,1228927,685783,813967,776223,979132,338800,592767,857500,651175,560623,694575,592767
30,7/1/2010,658476,269,506527,540988,1228927,685783,813967,776223,979132,338800,592767,857500,651175,560623,694575
31,8/1/2010,586530,318,707868,506527,540988,1228927,685783,813967,776223,979132,338800,592767,857500,651175,560623
32,9/1/2010,560367,275,529375,707868,506527,540988,1228927,685783,813967,776223,979132,338800,592767,857500,651175
33,10/1/2010,594654,287,576583,529375,707868,506527,540988,1228927,685783,813967,776223,979132,338800,592767,857500
34,11/1/2010,578152,241,406567,576583,529375,707868,506527,540988,1228927,685783,813967,776223,979132,338800,592767
35,12/1/2010,644221,351,862407,406567,576583,529375,707868,506527,540988,1228927,685783,813967,776223,979132,338800
36,1/1/2011,548821,356,887152,862407,406567,576583,529375,707868,506527,540988,1228927,685783,813967,776223,979132
37,2/1/2011,568057,317,703423,887152,862407,406567,576583,529375,707868,506527,540988,1228927,685783,813967,776223
38,3/1/2011,598068,257,462343,703423,887152,862407,406567,576583,529375,707868,506527,540988,1228927,685783,813967
39,4/1/2011,608093,304,646912,462343,703423,887152,862407,406567,576583,529375,707868,506527,540988,1228927,685783
40,5/1/2011,600191,337,794983,646912,462343,703423,887152,862407,406567,576583,529375,707868,506527,540988,1228927
41,6/1/2011,674402,297,617463,794983,646912,462343,703423,887152,862407,406567,576583,529375,707868,506527,540988
42,7/1/2011,745451,396,1097712,617463,794983,646912,462343,703423,887152,862407,406567,576583,529375,707868,506527
43,8/1/2011,621084,259,469567,1097712,617463,794983,646912,462343,703423,887152,862407,406567,576583,529375,707868
44,9/1/2011,650071,349,852607,469567,1097712,617463,794983,646912,462343,703423,887152,862407,406567,576583,529375
45,10/1/2011,656006,356,887152,852607,469567,1097712,617463,794983,646912,462343,703423,887152,862407,406567,576583
46,11/1/2011,654948,318,707868,887152,852607,469567,1097712,617463,794983,646912,462343,703423,887152,862407,406567
47,12/1/2011,724539,313,685783,707868,887152,852607,469567,1097712,617463,794983,646912,462343,703423,887152,862407
48,1/1/2012,652692,379,1005487,685783,707868,887152,852607,469567,1097712,617463,794983,646912,462343,703423,887152
49,2/1/2012,592502,308,664048,1005487,685783,707868,887152,852607,469567,1097712,617463,794983,646912,462343,703423
50,3/1/2012,658602,338,799708,664048,1005487,685783,707868,887152,852607,469567,1097712,617463,794983,646912,462343
51,4/1/2012,626100,302,638428,799708,664048,1005487,685783,707868,887152,852607,469567,1097712,617463,794983,646912
52,5/1/2012,650883,338,799708,638428,799708,664048,1005487,685783,707868,887152,852607,469567,1097712,617463,794983
53,6/1/2012,695531,339,804447,799708,638428,799708,664048,1005487,685783,707868,887152,852607,469567,1097712,617463
54,7/1/2012,701200,342,818748,804447,799708,638428,799708,664048,1005487,685783,707868,887152,852607,469567,1097712
55,8/1/2012,634194,310,672700,818748,804447,799708,638428,799708,664048,1005487,685783,707868,887152,852607,469567
56,9/1/2012,683584,305,651175,672700,818748,804447,799708,638428,799708,664048,1005487,685783,707868,887152,852607
57,10/1/2012,688341,340,809200,651175,672700,818748,804447,799708,638428,799708,664048,1005487,685783,707868,887152
58,11/1/2012,693867,322,725788,809200,651175,672700,818748,804447,799708,638428,799708,664048,1005487,685783,707868
59,12/1/2012,766966,278,540988,725788,809200,651175,672700,818748,804447,799708,638428,799708,664048,1005487,685783
60,1/1/2013,614328,283,560623,540988,725788,809200,651175,672700,818748,804447,799708,638428,799708,664048,1005487
61,2/1/2013,678415,321,721287,560623,540988,725788,809200,651175,672700,818748,804447,799708,638428,799708,664048
62,3/1/2013,725316,336,790272,721287,560623,540988,725788,809200,651175,672700,818748,804447,799708,638428,799708
63,4/1/2013,646117,314,690172,790272,721287,560623,540988,725788,809200,651175,672700,818748,804447,799708,638428
64,5/1/2013,700708,419,1228927,690172,790272,721287,560623,540988,725788,809200,651175,672700,818748,804447,799708
65,6/1/2013,789594,385,1037575,1228927,690172,790272,721287,560623,540988,725788,809200,651175,672700,818748,804447
66,7/1/2013,717784,348,847728,1037575,1228927,690172,790272,721287,560623,540988,725788,809200,651175,672700,818748
67,8/1/2013,771009,354,877212,847728,1037575,1228927,690172,790272,721287,560623,540988,725788,809200,651175,672700
68,9/1/2013,770878,360,907200,877212,847728,1037575,1228927,690172,790272,721287,560623,540988,725788,809200,651175
69,10/1/2013,719903,341,813967,907200,877212,847728,1037575,1228927,690172,790272,721287,560623,540988,725788,809200
70,11/1/2013,807422,330,762300,813967,907200,877212,847728,1037575,1228927,690172,790272,721287,560623,540988,725788
71,12/1/2013,860655,362,917308,762300,813967,907200,877212,847728,1037575,1228927,690172,790272,721287,560623,540988
72,1/1/2014,753079,342,818748,917308,762300,813967,907200,877212,847728,1037575,1228927,690172,790272,721287,560623
73,2/1/2014,702666,426,1270332,818748,917308,762300,813967,907200,877212,847728,1037575,1228927,690172,790272,721287
74,3/1/2014,765607,395,1092175,1270332,818748,917308,762300,813967,907200,877212,847728,1037575,1228927,690172,790272
75,4/1/2014,726332,397,1103263,1092175,1270332,818748,917308,762300,813967,907200,877212,847728,1037575,1228927,690172
76,5/1/2014,752363,364,927472,1103263,1092175,1270332,818748,917308,762300,813967,907200,877212,847728,1037575,1228927
77,6/1/2014,851475,357,892143,927472,1103263,1092175,1270332,818748,917308,762300,813967,907200,877212,847728,1037575
78,7/1/2014,777210,353,872263,892143,927472,1103263,1092175,1270332,818748,917308,762300,813967,907200,877212,847728
79,8/1/2014,826821,448,1404928,872263,892143,927472,1103263,1092175,1270332,818748,917308,762300,813967,907200,877212
80,9/1/2014,791296,377,994903,1404928,872263,892143,927472,1103263,1092175,1270332,818748,917308,762300,813967,907200
81,10/1/2014,808767,322,725788,994903,1404928,872263,892143,927472,1103263,1092175,1270332,818748,917308,762300,813967
82,11/1/2014,764461,433,1312423,725788,994903,1404928,872263,892143,927472,1103263,1092175,1270332,818748,917308,762300
83,12/1/2014,915334,388,1053808,1312423,725788,994903,1404928,872263,892143,927472,1103263,1092175,1270332,818748,917308
84,1/1/2015,724698,457,1461943,1053808,1312423,725788,994903,1404928,872263,892143,927472,1103263,1092175,1270332,818748
85,2/1/2015,794302,385,1037575,1461943,1053808,1312423,725788,994903,1404928,872263,892143,927472,1103263,1092175,1270332
86,3/1/2015,792804,381,1016127,1037575,1461943,1053808,1312423,725788,994903,1404928,872263,892143,927472,1103263,1092175
87,4/1/2015,750999,390,1064700,1016127,1037575,1461943,1053808,1312423,725788,994903,1404928,872263,892143,927472,1103263
88,5/1/2015,794294,411,1182447,1064700,1016127,1037575,1461943,1053808,1312423,725788,994903,1404928,872263,892143,927472
89,6/1/2015,815307,391,1070167,1182447,1064700,1016127,1037575,1461943,1053808,1312423,725788,994903,1404928,872263,892143
90,7/1/2015,815351,339,804447,1070167,1182447,1064700,1016127,1037575,1461943,1053808,1312423,725788,994903,1404928,872263
91,8/1/2015,853244,418,1223068,804447,1070167,1182447,1064700,1016127,1037575,1461943,1053808,1312423,725788,994903,1404928
92,9/1/2015,870351,352,867328,1223068,804447,1070167,1182447,1064700,1016127,1037575,1461943,1053808,1312423,725788,994903
93,10/1/2015,826196,367,942823,867328,1223068,804447,1070167,1182447,1064700,1016127,1037575,1461943,1053808,1312423,725788
94,11/1/2015,777976,371,963487,942823,867328,1223068,804447,1070167,1182447,1064700,1016127,1037575,1461943,1053808,1312423
95,12/1/2015,913828,388,1053808,963487,942823,867328,1223068,804447,1070167,1182447,1064700,1016127,1037575,1461943,1053808
96,1/1/2016,814303,427,1276303,1053808,963487,942823,867328,1223068,804447,1070167,1182447,1064700,1016127,1037575,1461943
97,2/1/2016,888309,393,1081143,1276303,1053808,963487,942823,867328,1223068,804447,1070167,1182447,1064700,1016127,1037575
98,3/1/2016,915019,446,1392412,1081143,1276303,1053808,963487,942823,867328,1223068,804447,1070167,1182447,1064700,1016127
99,4/1/2016,901095,398,1108828,1392412,1081143,1276303,1053808,963487,942823,867328,1223068,804447,1070167,1182447,1064700
100,5/1/2016,915206,421,1240687,1108828,1392412,1081143,1276303,1053808,963487,942823,867328,1223068,804447,1070167,1182447
101,6/1/2016,857651,376,989632,1240687,1108828,1392412,1081143,1276303,1053808,963487,942823,867328,1223068,804447,1070167
102,7/1/2016,1032741,380,1010800,989632,1240687,1108828,1392412,1081143,1276303,1053808,963487,942823,867328,1223068,804447
103,8/1/2016,1031986,406,1153852,1010800,989632,1240687,1108828,1392412,1081143,1276303,1053808,963487,942823,867328,1223068
104,9/1/2016,1006653,379,1005487,1153852,1010800,989632,1240687,1108828,1392412,1081143,1276303,1053808,963487,942823,867328
105,10/1/2016,1040651,408,1165248,1005487,1153852,1010800,989632,1240687,1108828,1392412,1081143,1276303,1053808,963487,942823
106,11/1/2016,1002333,355,882175,1165248,1005487,1153852,1010800,989632,1240687,1108828,1392412,1081143,1276303,1053808,963487
107,12/1/2016,1113328,450,1417500,882175,1165248,1005487,1153852,1010800,989632,1240687,1108828,1392412,1081143,1276303,1053808
108,1/1/2017,1107968,432,1306368,1417500,882175,1165248,1005487,1153852,1010800,989632,1240687,1108828,1392412,1081143,1276303
109,2/1/2017,1023388,415,1205575,1306368,1417500,882175,1165248,1005487,1153852,1010800,989632,1240687,1108828,1392412,1081143
110,3/1/2017,1059777,415,1205575,1205575,1306368,1417500,882175,1165248,1005487,1153852,1010800,989632,1240687,1108828,1392412
111,4/1/2017,1171386,454,1442812,1205575,1205575,1306368,1417500,882175,1165248,1005487,1153852,1010800,989632,1240687,1108828
112,5/1/2017,1148588,484,1639792,1442812,1205575,1205575,1306368,1417500,882175,1165248,1005487,1153852,1010800,989632,1240687
113,6/1/2017,1144001,424,1258432,1639792,1442812,1205575,1205575,1306368,1417500,882175,1165248,1005487,1153852,1010800,989632
114,7/1/2017,1370591,450,1417500,1258432,1639792,1442812,1205575,1205575,1306368,1417500,882175,1165248,1005487,1153852,1010800
115,8/1/2017,1393243,510,1820700,1417500,1258432,1639792,1442812,1205575,1205575,1306368,1417500,882175,1165248,1005487,1153852
116,9/1/2017,1250231,483,1633023,1820700,1417500,1258432,1639792,1442812,1205575,1205575,1306368,1417500,882175,1165248,1005487
117,10/1/2017,1161565,441,1361367,1633023,1820700,1417500,1258432,1639792,1442812,1205575,1205575,1306368,1417500,882175,1165248
118,11/1/2017,1062030,526,1936732,1361367,1633023,1820700,1417500,1258432,1639792,1442812,1205575,1205575,1306368,1417500,882175
119,12/1/2017,1147031,396,1097712,1936732,1361367,1633023,1820700,1417500,1258432,1639792,1442812,1205575,1205575,1306368,1417500
120,1/1/2018,1097839,506,1792252,1097712,1936732,1361367,1633023,1820700,1417500,1258432,1639792,1442812,1205575,1205575,1306368
121,2/1/2018,1197503,489,1673847,1792252,1097712,1936732,1361367,1633023,1820700,1417500,1258432,1639792,1442812,1205575,1205575
122,3/1/2018,1363426,458,1468348,1673847,1792252,1097712,1936732,1361367,1633023,1820700,1417500,1258432,1639792,1442812,1205575
123,4/1/2018,1302321,439,1349047,1468348,1673847,1792252,1097712,1936732,1361367,1633023,1820700,1417500,1258432,1639792,1442812
124,5/1/2018,1242705,491,1687567,1349047,1468348,1673847,1792252,1097712,1936732,1361367,1633023,1820700,1417500,1258432,1639792
125,6/1/2018,1322674,419,1228927,1687567,1349047,1468348,1673847,1792252,1097712,1936732,1361367,1633023,1820700,1417500,1258432
126,7/1/2018,1547231,559,2187367,1228927,1687567,1349047,1468348,1673847,1792252,1097712,1936732,1361367,1633023,1820700,1417500
127,8/1/2018,1511021,539,2033647,2187367,1228927,1687567,1349047,1468348,1673847,1792252,1097712,1936732,1361367,1633023,1820700
128,9/1/2018,1370943,492,1694448,2033647,2187367,1228927,1687567,1349047,1468348,1673847,1792252,1097712,1936732,1361367,1633023
129,10/1/2018,1291605,460,1481200,1694448,2033647,2187367,1228927,1687567,1349047,1468348,1673847,1792252,1097712,1936732,1361367
130,11/1/2018,1157483,387,1048383,1481200,1694448,2033647,2187367,1228927,1687567,1349047,1468348,1673847,1792252,1097712,1936732
131,12/1/2018,1405554,410,1176700,1048383,1481200,1694448,2033647,2187367,1228927,1687567,1349047,1468348,1673847,1792252,1097712
132,1/1/2019,1201735,452,1430128,1176700,1048383,1481200,1694448,2033647,2187367,1228927,1687567,1349047,1468348,1673847,1792252
133,2/1/2019,1243996,426,1270332,1430128,1176700,1048383,1481200,1694448,2033647,2187367,1228927,1687567,1349047,1468348,1673847
134,3/1/2019,1311911,457,1461943,1270332,1430128,1176700,1048383,1481200,1694448,2033647,2187367,1228927,1687567,1349047,1468348
135,4/1/2019,1274231,420,1234800,1461943,1270332,1430128,1176700,1048383,1481200,1694448,2033647,2187367,1228927,1687567,1349047
136,5/1/2019,1249536,448,1404928,1234800,1461943,1270332,1430128,1176700,1048383,1481200,1694448,2033647,2187367,1228927,1687567
137,6/1/2019,1434103,478,1599388,1404928,1234800,1461943,1270332,1430128,1176700,1048383,1481200,1694448,2033647,2187367,1228927
138,7/1/2019,1468173,459,1474767,1599388,1404928,1234800,1461943,1270332,1430128,1176700,1048383,1481200,1694448,2033647,2187367
139,8/1/2019,1530268,470,1546300,1474767,1599388,1404928,1234800,1461943,1270332,1430128,1176700,1048383,1481200,1694448,2033647
140,9/1/2019,1388719,477,1592703,1546300,1474767,1599388,1404928,1234800,1461943,1270332,1430128,1176700,1048383,1481200,1694448
141,10/1/2019,1346434,429,1288287,1592703,1546300,1474767,1599388,1404928,1234800,1461943,1270332,1430128,1176700,1048383,1481200
142,11/1/2019,1280781,442,1367548,1288287,1592703,1546300,1474767,1599388,1404928,1234800,1461943,1270332,1430128,1176700,1048383
143,12/1/2019,1377067,451,1423807,1367548,1288287,1592703,1546300,1474767,1599388,1404928,1234800,1461943,1270332,1430128,1176700
144,1/1/2020,1290411,518,1878268,1423807,1367548,1288287,1592703,1546300,1474767,1599388,1404928,1234800,1461943,1270332,1430128
145,2/1/2020,872765,428,1282288,1878268,1423807,1367548,1288287,1592703,1546300,1474767,1599388,1404928,1234800,1461943,1270332
146,3/1/2020,486155,377,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300,1474767,1599388,1404928,1234800,1461943
147,4/1/2020,158066,264,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300,1474767,1599388,1404928,1234800
148,5/1/2020,161842,247,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300,1474767,1599388,1404928
149,6/1/2020,156561,289,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300,1474767,1599388
150,7/1/2020,155742,221,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300,1474767
151,8/1/2020,161549,260,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703,1546300
152,9/1/2020,148984,285,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287,1592703
153,10/1/2020,152293,249,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548,1288287
154,11/1/2020,144476,247,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807,1367548
155,12/1/2020,164079,253,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268,1423807
156,1/1/2021,137230,235,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288,1878268
157,2/1/2021,115765,306,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903,1282288
158,3/1/2021,130933,280,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872,994903
159,4/1/2021,125001,252,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063,487872
160,5/1/2021,152604,209,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647,427063
161,6/1/2021,137247,276,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887,584647
162,7/1/2021,135438,206,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200,341887
163,8/1/2021,124751,244,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575,473200
164,9/1/2021,124071,279,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007,568575
165,10/1/2021,148645,224,351232,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063,434007
166,11/1/2021,153199,224,351232,351232,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063,427063
167,12/31/2021,163619,242,409948,351232,351232,544887,416752,297052,533232,305767,444528,548800,655452,386575,448063
